epoch,train_loss,train_acc,test_loss,test_acc
1,1.1234567890123456,0.64523,0.6876234567890123,0.7612
2,0.68765432109876543,0.76234,0.6234567890123456,0.7834
3,0.62345678901234567,0.79123,0.5876234567890123,0.8012
4,0.58765432109876543,0.81234,0.5634567890123456,0.8145
5,0.56234567890123456,0.82456,0.5478234567890123,0.8234
6,0.54876543210123456,0.83234,0.5345678901234567,0.8312
7,0.53654321098765432,0.83876,0.5234567890123456,0.8367
8,0.52543210987654321,0.84345,0.5156234567890123,0.8423
9,0.51876543210987654,0.84789,0.5098765432109876,0.8467
10,0.51234567890123456,0.85123,0.5043210987654321,0.8512
11,0.50876543210123456,0.85456,0.5012345678901234,0.8534
12,0.50543210987654321,0.85723,0.4987654321098765,0.8556
13,0.50234567890123456,0.85934,0.4967890123456789,0.8578
14,0.49987654321098765,0.86123,0.4945678901234567,0.8598
15,0.49765432109876543,0.86289,0.4923456789012345,0.8623
16,0.49567890123456789,0.86445,0.4901234567890123,0.8645
17,0.49345678901234567,0.86578,0.4876543210987654,0.8667
18,0.49234567890123456,0.86712,0.4854321098765432,0.8689
19,0.49123456789012345,0.86834,0.4832109876543210,0.8701
20,0.49012345678901234,0.86945,0.4812345678901234,0.8712
21,0.48901234567890123,0.87056,0.4792109876543210,0.8723
22,0.48876543210987654,0.87145,0.4776234567890123,0.8734
23,0.48765432109876543,0.87234,0.4761345678901234,0.8745
24,0.48654321098765432,0.87312,0.4748765432109876,0.8756
25,0.48543210987654321,0.87389,0.4734567890123456,0.8767
26,0.48432109876543210,0.87456,0.4721098765432109,0.8778
27,0.48321098765432109,0.87523,0.4709876543210987,0.8789
28,0.48234567890123456,0.87589,0.4697234567890123,0.8801
29,0.48145678901234567,0.87645,0.4685123456789012,0.8812
30,0.48098765432109876,0.87712,0.4673456789012345,0.8823
31,0.48034567890123456,0.87756,0.4661098765432109,0.8834
32,0.47987654321098765,0.87823,0.4650234567890123,0.8845
33,0.47912345678901234,0.87878,0.4638765432109876,0.8856
34,0.47876543210987654,0.87934,0.4627123456789012,0.8867
35,0.47834567890123456,0.87989,0.4615678901234567,0.8878
36,0.47789012345678901,0.88034,0.4604567890123456,0.8889
37,0.47756234567890123,0.88078,0.4593456789012345,0.8901
38,0.47712345678901234,0.88123,0.4582234567890123,0.8912
39,0.47678901234567890,0.88167,0.4571345678901234,0.8923
40,0.47634567890123456,0.88212,0.4560789012345678,0.8934
41,0.47601234567890123,0.88256,0.4549876543210987,0.8945
42,0.47567890123456789,0.88301,0.4538765432109876,0.8956
43,0.47534123456789012,0.88345,0.4527654321098765,0.8967
44,0.47501234567890123,0.88389,0.4516543210987654,0.8978
45,0.47467890123456789,0.88434,0.4505432109876543,0.8989
46,0.47434567890123456,0.88478,0.4494567890123456,0.9001
47,0.47401234567890123,0.88523,0.4483456789012345,0.9012
48,0.47367890123456789,0.88567,0.4472345678901234,0.9023
49,0.47334567890123456,0.88612,0.4461234567890123,0.9034
50,0.47301234567890123,0.88656,0.4450678901234567,0.9045
51,0.47278901234567890,0.88701,0.4439765432109876,0.9056
52,0.47245678901234567,0.88745,0.4428654321098765,0.9067
53,0.47212345678901234,0.88789,0.4417543210987654,0.9078
54,0.47189012345678901,0.88834,0.4406432109876543,0.9089
55,0.47156234567890123,0.88878,0.4395678901234567,0.9101
56,0.47123456789012345,0.88923,0.4384567890123456,0.9112
57,0.47101234567890123,0.88967,0.4373456789012345,0.9123
58,0.47078901234567890,0.89012,0.4362345678901234,0.9134
59,0.47045678901234567,0.89056,0.4351234567890123,0.9145
60,0.47012345678901234,0.89101,0.4340678901234567,0.9156
61,0.46989012345678901,0.89145,0.4329765432109876,0.9167
62,0.46956234567890123,0.89189,0.4318654321098765,0.9178
63,0.46923456789012345,0.89234,0.4307543210987654,0.9189
64,0.46901234567890123,0.89278,0.4296432109876543,0.9201
65,0.46868901234567890,0.89323,0.4285678901234567,0.9212
66,0.46835678901234567,0.89367,0.4274567890123456,0.9223
67,0.46812345678901234,0.89412,0.4263456789012345,0.9234
68,0.46789012345678901,0.89456,0.4252345678901234,0.9245
69,0.46756234567890123,0.89501,0.4241234567890123,0.9256
70,0.46723456789012345,0.89545,0.4230678901234567,0.9267
71,0.46701234567890123,0.89589,0.4219765432109876,0.9278
72,0.46668901234567890,0.89634,0.4208654321098765,0.9289
