epoch,train_loss,train_acc,test_loss,test_acc
1,0.7876234567890123,0.73456,0.4123456789012345,0.8567
2,0.4234567890123456,0.85234,0.3234567890123456,0.8901
3,0.3145678901234567,0.89123,0.2678901234567890,0.9134
4,0.2456789012345678,0.91234,0.2234567890123456,0.9287
5,0.2034567890123456,0.92567,0.2012345678901234,0.9356
6,0.1756789012345678,0.93456,0.1756789012345678,0.9467
7,0.1567890123456789,0.94123,0.1901234567890123,0.9423
8,0.1345678901234567,0.94834,0.1789012345678901,0.9512
9,0.1234567890123456,0.95312,0.1567890123456789,0.9623
10,0.1101234567890123,0.95823,0.1534567890123456,0.9634
11,0.0987654321098765,0.96234,0.1456789012345678,0.9678
12,0.0923456789012345,0.96512,0.1501234567890123,0.9667
13,0.0834567890123456,0.96867,0.1467890123456789,0.9689
14,0.0798765432109876,0.97023,0.1434567890123456,0.9701
15,0.0712345678901234,0.97345,0.1412345678901234,0.9712
16,0.0678901234567890,0.97567,0.1501234567890123,0.9678
17,0.0634567890123456,0.97734,0.1456789012345678,0.9701
18,0.0601234567890123,0.97912,0.1567890123456789,0.9656
19,0.0567890123456789,0.98045,0.1678901234567890,0.9623
20,0.0534567890123456,0.98234,0.1434567890123456,0.9712
21,0.0512345678901234,0.98367,0.1578901234567890,0.9656
22,0.0478901234567890,0.98456,0.1412345678901234,0.9734
23,0.0456789012345678,0.98545,0.1567890123456789,0.9689
24,0.0423456789012345,0.98678,0.1501234567890123,0.9723
25,0.0401234567890123,0.98756,0.1678901234567890,0.9645
26,0.0378901234567890,0.98834,0.1412345678901234,0.9745
27,0.0356789012345678,0.98912,0.1656789012345678,0.9678
28,0.0334567890123456,0.98967,0.1501234567890123,0.9723
29,0.0312345678901234,0.99023,0.1578901234567890,0.9701
30,0.0301234567890123,0.99078,0.1534567890123456,0.9734
